LSOA21CD,warningcode
E01034616,6
E01035201,6
E01035202,6
E01035183,6
E01035184,6
E01035217,6
E01035218,6
E01035219,6
E01035242,6
E01035373,6
E01035374,6
E01034354,6
E01034355,6
E01034727,6
E01034730,6
E01035450,6
E01035451,6
E01035452,6
E01035357,6
E01035358,6
E01035228,6
E01035233,6
E01034435,6
E01034436,6
E01034603,6
E01034604,6
E01034605,6
E01035187,6
E01012464,6
E01012633,6
E01012888,6
E01013530,6
E01013536,6
E01013525,6
E01013595,6
E01032868,6
E01032873,6
E01013928,6
E01014230,6
E01014484,6
E01014498,6
E01014623,6
E01033352,6
E01032673,6
E01014948,6
E01015568,6
E01015503,6
E01015629,6
E01015647,6
E01016147,6
E01016190,6
E01016209,6
E01016207,6
E01016281,6
E01016474,6
E01016793,6
E01016767,6
E01016763,6
E01033500,6
E01016823,6
E01016716,6
E01017053,6
E01017054,6
E01017172,6
E01017154,6
E01028958,6
E01032087,6
E01017478,6
E01017466,6
E01017796,6
E01017941,6
E01026958,6
E01027131,6
E01027240,6
E01027202,6
E01018138,6
E01019556,6
E01019579,6
E01019677,6
E01033234,6
E01019969,6
E01021277,6
E01021473,6
E01021544,6
E01022665,6
E01022881,6
E01023866,6
E01032830,6
E01025421,6
E01025991,6
E01026163,6
E01026466,6
E01027719,6
E01032941,6
E01028506,6
E01028456,6
E01028473,6
E01028557,6
E01028529,6
E01029504,6
E01029619,6
E01029837,6
E01030030,6
E01033124,6
E01030049,6
E01030350,6
E01030606,6
E01030755,6
E01031025,6
E01031011,6
E01031244,6
E01031207,6
E01031262,6
E01033248,6
E01004775,6
E01004948,6
E01005030,6
E01033674,6
E01005822,6
E01006008,6
E01006121,6
E01006178,6
E01006438,6
E01007315,6
E01007530,6
E01007889,6
E01008093,6
E01008477,6
E01009320,6
E01009146,6
E01009580,6
E01032533,6
E01010125,6
E01010109,6
E01010108,6
E01010151,6
E01010181,6
E01010405,6
E01010614,6
E01010818,6
E01011457,6
E01011590,6
E01033013,6
E01011470,6
E01011885,6
E01008181,6
E01008259,6
E01000360,6
E01000928,6
E01000946,6
E01001247,6
E01002098,6
E01002520,6
W01000786,6
W01000812,6
W01000822,6
W01001037,6
W01001003,6
W01001759,6
E01014291,6
E01016810,6
E01018581,6
E01020408,6
E01019543,6
E01019839,6
E01022341,6
E01023346,6
E01030089,6
E01031520,6
E01032403,6
E01009548,6
E01000615,6
E01003497,6
E01012391,6
E01012882,6
E01015501,6
E01016345,6
E01018176,6
E01032933,6
E01024180,6
E01029395,6
E01006157,6
E01006446,6
E01007640,6
E01008437,6
E01000497,6
E01014658,6
E01031931,6
E01019656,6
E01008541,6
E01010017,6
E01003935,6
E01012443,6
E01014302,6
E01015686,6
E01016696,6
E01017561,6
E01021034,6
E01025704,6
E01029995,6
E01004951,6
E01032503,6
E01032053,6
E01024719,6
E01031312,6
E01012258,6
E01015616,6
E01016185,6
E01019574,6
E01019970,6
E01025669,6
E01028790,6
E01011612,6
E01016508,6
E01026994,6
E01018286,6
E01024737,6
E01001513,6
E01018330,6
E01027304,6
E01022700,6
E01031050,6
E01011325,6
E01011363,6
E01011734,6
E01002507,6
E01013187,6
E01018482,6
E01022236,6
E01025518,6
E01030372,6
E01031308,6
E01010495,6
E01015661,6
E01017947,6
E01005269,6
E01011362,6
W01001240,6
S01013604,6
S01013686,6
S01013737,6
S01013738,6
S01013897,6
S01014261,6
S01014664,6
S01015055,6
S01015787,6
S01015960,6
S01016330,6
S01016665,6
S01016958,6
S01016967,6
S01017155,6
S01017168,6
S01017214,6
S01017278,6
S01017425,6
S01017444,6
S01017594,6
S01017788,6
S01017809,6
S01018797,6
S01018917,6
S01019369,6
S01019370,6
S01019501,6
S01019502,6
S01019503,6
S01019504,6
S01019597,6
S01020221,6
S01020262,6
S01020263,6
S01020264,6
S01020265,6
S01020412,6
S01020437,6
S01020445,6
S01020501,6
S01020502,6
S01020508,6
S01020785,6
S01020786,6
S01020787,6
S01020788,6
S01020792,6
S01020873,6
S01018475,6
S01020444,6
S01015053,6
S01018880,6
S01020128,6
S01016697,6
S01019377,6
S01019257,6
S01020100,6
S01020678,6
S01020679,6
S01018976,6
S01020740,6
S01015657,6
S01017426,6
S01019237,6
